# 1-D oscillator chain:  omega_k = sqrt(1 + 4 sin^2(pi k / L))
# L = 2 ell + 1  (odd),  periodic boundary
#
# Resonance conditions  (zeta = (k, sigma),  sigma = +/-1):
#   k + k1 + k2 + k3  = 0   (mod L)       [momentum]
#   sigma*w_k + s1*w_{k1} + s2*w_{k2} + s3*w_{k3} = 0  [frequency]
#
# Only 2-positive / 2-negative sign configs can satisfy the
# frequency condition (since w_k >= 1).
#
# Total   = sum_zeta |R_zeta|
# Trivial = subset where {w_pos} = {w_neg} as multisets
#           (no net energy transfer in the kinetic equation)
#
     L          Total        Trivial    Non-trivial
   535           7902           6414           1488
   537           8070           6438           1632
   539           7902           6462           1440
   541           7926           6486           1440
   543           8238           6510           1728
   545           8118           6534           1584
   547           7950           6558           1392
   549           7974           6582           1392
   551           8046           6606           1440
   553           8454           6630           1824
   555           8046           6654           1392
   557           7974           6678           1296
   559           8142           6702           1440
   561           8310           6726           1584
   563           8190           6750           1440
   565           8118           6774           1344
   567           8286           6798           1488
   569           8454           6822           1632
   571           8478           6846           1632
   573           8358           6870           1488
   575           8478           6894           1584
   577           8646           6918           1728
   579           8382           6942           1440
   581           8598           6966           1632
   583           8478           6990           1488
   585           8742           7014           1728
   587           8574           7038           1536
   589           8406           7062           1344
   591           8814           7086           1728
   593           8886           7110           1776
   595           8718           7134           1584
   597           8790           7158           1632
   599           8862           7182           1680
   601           9078           7206           1872
   603           8910           7230           1680
   605           8742           7254           1488
   607           8910           7278           1632
   609           9222           7302           1920
   611           9126           7326           1800
   613           9222           7350           1872
   615           9198           7374           1824
   617           9318           7398           1920
   619           9246           7422           1824
   621           9270           7446           1824
   623           9342           7470           1872
   625           9366           7494           1872
   627           9342           7518           1824
   629           9174           7542           1632
   631           9486           7566           1920
   633           9558           7590           1968
   635           9342           7614           1728
   637           9606           7638           1968
   639           9438           7662           1776
   641           9798           7686           2112
   643           9678           7710           1968
   645           9558           7734           1824
   647           9822           7758           2064
   649           9942           7782           2160
   651          10062           7806           2256
   653          10230           7830           2400
   655          10206           7854           2352
   657          10326           7878           2448
   659          10254           7902           2352
   661          10134           7926           2208
   663          10302           7950           2352
   665          10278           7974           2304
   667          10158           7998           2160
   669          10278           8022           2256
   671          10206           8046           2160
   673          10614           8070           2544
   675          10446           8094           2352
   677          10134           8118           2016
   679          10590           8142           2448
   681          10518           8166           2352
   683          10782           8190           2592
   685          10470           8214           2256
   687          10302           8238           2064
   689          10662           8262           2400
   691          10734           8286           2448
   693          10614           8310           2304
   695          10446           8334           2112
   697          10758           8358           2400
   699          10926           8382           2544
   701          10710           8406           2304
   703          10734           8430           2304
   705          10710           8454           2256
   707          11070           8478           2592
   709          10854           8502           2352
   711          10926           8526           2400
   713          11046           8550           2496
   715          11118           8574           2544
   717          10950           8598           2352
   719          11262           8622           2640
   721          11286           8646           2640
   723          11406           8670           2736
   725          11046           8694           2352
   727          11118           8718           2400
   729          11430           8742           2688
   731          11406           8766           2640
   733          11334           8790           2544
   735          11310           8814           2496
   737          11334           8838           2496
   739          11742           8862           2880
   741          11478           8886           2592
   743          11454           8910           2544
   745          11478           8934           2544
   747          11886           8958           2928
   749          11622           8982           2640
   751          11598           9006           2592
   753          11814           9030           2784
   755          11742           9054           2688
   757          11814           9078           2736
   759          11934           9102           2832
   761          11958           9126           2832
   763          12126           9150           2976
   765          11766           9174           2592
   767          12270           9198           3072
   769          12438           9222           3216
   771          12510           9246           3264
   773          12486           9270           3216
   775          12366           9294           3072
   777          12774           9318           3456
   779          12750           9342           3408
   781          12486           9366           3120
   783          12462           9390           3072
   785          12486           9414           3072
   787          12846           9438           3408
   789          12822           9462           3360
   791          12558           9486           3072
   793          12726           9510           3216
   795          12750           9534           3216
   797          12774           9558           3216
   799          12894           9582           3312
   801          12918           9606           3312
   803          12942           9630           3312
   805          12678           9654           3024
   807          12750           9678           3072
   809          13110           9702           3408
   811          12990           9726           3264
   813          13014           9750           3264
   815          13086           9774           3312
   817          12966           9798           3168
   819          13182           9822           3360
   821          13110           9846           3264
   823          12894           9870           3024
   825          13206           9894           3312
   827          13566           9918           3648
   829          13350           9942           3408
   831          13134           9966           3168
   833          13206           9990           3216
   835          13374          10014           3360
   837          13590          10038           3552
   839          13278          10062           3216
   841          13398          10086           3312
   843          13518          10110           3408
   845          13638          10134           3504
   847          13566          10158           3408
   849          13686          10182           3504
   851          13758          10206           3552
   853          13590          10230           3360
   855          13806          10254           3552
   857          13830          10278           3552
   859          13902          10302           3600
   861          13878          10326           3552
   863          13854          10350           3504
   865          14118          10374           3744
   867          14190          10398           3792
   869          14166          10422           3744
   871          14094          10446           3648
   873          14166          10470           3696
   875          14238          10494           3744
   877          14358          10518           3840
