     L  Total_Resonances      None_Trivial           Trivial     Density
   353           1493190              4230           1488960  0.00565770
   355           1510170              4254           1505916  0.00562587
   357           1527246              4278           1522968  0.00559439
   359           1544418              4302           1540116  0.00556327
   361           1561686              4326           1557360  0.00553249
   363           1579050              4350           1574700  0.00550205
   365           1596510              4374           1592136  0.00547195
   367           1614066              4398           1609668  0.00544217
   369           1631718              4422           1627296  0.00541271
   371           1649466              4446           1645020  0.00538357
   373           1667310              4470           1662840  0.00535474
   375           1685250              4494           1680756  0.00532622
   377           1703286              4518           1698768  0.00529800
   379           1721418              4542           1716876  0.00527008
   381           1739646              4566           1735080  0.00524245
   383           1757970              4590           1753380  0.00521511
   385           1776390              4614           1771776  0.00518806
   387           1794906              4638           1790268  0.00516128
   389           1813518              4662           1808856  0.00513478
   391           1832226              4686           1827540  0.00510855
   393           1851030              4710           1846320  0.00508258
   395           1869930              4734           1865196  0.00505688
   397           1888926              4758           1884168  0.00503144
   399           1908114              4782           1903332  0.00500650
   401           1927206              4806           1922400  0.00498131
   403           1946490              4830           1941660  0.00495662
   405           1965870              4854           1961016  0.00493217
   407           1985346              4878           1980468  0.00490797
   409           2004918              4902           2000016  0.00488400
   411           2024586              4926           2019660  0.00486026
   413           2044350              4950           2039400  0.00483675
   415           2064210              4974           2059236  0.00481347
   417           2084166              4998           2079168  0.00479041
   419           2104218              5022           2099196  0.00476757
   421           2124366              5046           2119320  0.00474495
   423           2144610              5070           2139540  0.00472254
   425           2164950              5094           2159856  0.00470035
   427           2185386              5118           2180268  0.00467836
   429           2205918              5142           2200776  0.00465657
   431           2226642              5166           2221476  0.00463519
   433           2247270              5190           2242080  0.00461360
   435           2268090              5214           2262876  0.00459242
   437           2289006              5238           2283768  0.00457142
   439           2310018              5262           2304756  0.00455062
   441           2331126              5286           2325840  0.00453001
   443           2352330              5310           2347020  0.00450958
   445           2373630              5334           2368296  0.00448933
   447           2395026              5358           2389668  0.00446927
   449           2416518              5382           2411136  0.00444938
   451           2438106              5406           2432700  0.00442967
   453           2459790              5430           2454360  0.00441014
   455           2481570              5454           2476116  0.00439077
   457           2503446              5478           2497968  0.00437158
   459           2525418              5502           2519916  0.00435255
   461           2547486              5526           2541960  0.00433369
   463           2569650              5550           2564100  0.00431499
   465           2591910              5574           2586336  0.00429645
   467           2614266              5598           2608668  0.00427807
   469           2636718              5622           2631096  0.00425985
   471           2659266              5646           2653620  0.00424178
   473           2681910              5670           2676240  0.00422386
   475           2704746              5694           2699052  0.00420624
   477           2727582              5718           2721864  0.00418862
   479           2750418              5742           2744676  0.00417101
   481           2773446              5766           2767680  0.00415368
   483           2796570              5790           2790780  0.00413650
   485           2819790              5814           2813976  0.00411946
   487           2843106              5838           2837268  0.00410256
   489           2866518              5862           2860656  0.00408580
   491           2890026              5886           2884140  0.00406917
   493           2913630              5910           2907720  0.00405268
   495           2937330              5934           2931396  0.00403632
   497           2961126              5958           2955168  0.00402010
   499           2985018              5982           2979036  0.00400400
   501           3009054              6006           3003048  0.00398810
   503           3033090              6030           3027060  0.00397219
   505           3057270              6054           3051216  0.00395647
   507           3081546              6078           3075468  0.00394088
   509           3105918              6102           3099816  0.00392541
   511           3130386              6126           3124260  0.00391006
   513           3154950              6150           3148800  0.00389484
   515           3179610              6174           3173436  0.00387972
   517           3204366              6198           3198168  0.00386473
   519           3229218              6222           3222996  0.00384985
   521           3254166              6246           3247920  0.00383509
   523           3279210              6270           3272940  0.00382044
   525           3304350              6294           3298056  0.00380590
   527           3329586              6318           3323268  0.00379147
   529           3354918              6342           3348576  0.00377714
   531           3380346              6366           3373980  0.00376293
   533           3405870              6390           3399480  0.00374883
   535           3431490              6414           3425076  0.00373482
   537           3457206              6438           3450768  0.00372093
   539           3483018              6462           3476556  0.00370713
   541           3508926              6486           3502440  0.00369344
   543           3534930              6510           3528420  0.00367985
   545           3561030              6534           3554496  0.00366636
   547           3587226              6558           3580668  0.00365296
   549           3613518              6582           3606936  0.00363967
   551           3639906              6606           3633300  0.00362647
   553           3666486              6630           3659856  0.00361346
   555           3692970              6654           3686316  0.00360036
   557           3719646              6678           3712968  0.00358744
   559           3746514              6702           3739812  0.00357471
   561           3773286              6726           3766560  0.00356188
   563           3800250              6750           3793500  0.00354924
   565           3827310              6774           3820536  0.00353669
   567           3854466              6798           3847668  0.00352423
   569           3881718              6822           3874896  0.00351185
   571           3909066              6846           3902220  0.00349956
   573           3936510              6870           3929640  0.00348736
   575           3964050              6894           3957156  0.00347524
   577           3991686              6918           3984768  0.00346320
   579           4019418              6942           4012476  0.00345125
   581           4047246              6966           4040280  0.00343938
   583           4075170              6990           4068180  0.00342759
   585           4103190              7014           4096176  0.00341588
   587           4131306              7038           4124268  0.00340425
   589           4159518              7062           4152456  0.00339270
   591           4187826              7086           4180740  0.00338123
   593           4216230              7110           4209120  0.00336984
   595           4244730              7134           4237596  0.00335852
   597           4273422              7158           4266264  0.00334735
   599           4302018              7182           4294836  0.00333611
   601           4330806              7206           4323600  0.00332502
   603           4359690              7230           4352460  0.00331400
   605           4388670              7254           4381416  0.00330305
   607           4417746              7278           4410468  0.00329218
   609           4446918              7302           4439616  0.00328138
   611           4476186              7326           4468860  0.00327064
   613           4505550              7350           4498200  0.00325998
   615           4535010              7374           4527636  0.00324939
   617           4564566              7398           4557168  0.00323886
   619           4594218              7422           4586796  0.00322841
   621           4623966              7446           4616520  0.00321802
   623           4653810              7470           4646340  0.00320770
   625           4683750              7494           4676256  0.00319744
   627           4713786              7518           4706268  0.00318725
   629           4743918              7542           4736376  0.00317712
   631           4774146              7566           4766580  0.00316706
   633           4804470              7590           4796880  0.00315706
   635           4834890              7614           4827276  0.00314713
   637           4865406              7638           4857768  0.00313725
   639           4896018              7662           4888356  0.00312744
   641           4926726              7686           4919040  0.00311769
   643           4957530              7710           4949820  0.00310800
   645           4988430              7734           4980696  0.00309837
   647           5019426              7758           5011668  0.00308880
   649           5050518              7782           5042736  0.00307929
   651           5081706              7806           5073900  0.00306984
   653           5112990              7830           5105160  0.00306044
   655           5144370              7854           5136516  0.00305110
   657           5175846              7878           5167968  0.00304182
   659           5207418              7902           5199516  0.00303260
   661           5239086              7926           5231160  0.00302343
   663           5270850              7950           5262900  0.00301432
   665           5302710              7974           5294736  0.00300526
   667           5334666              7998           5326668  0.00299625
   669           5366718              8022           5358696  0.00298730
   671           5398866              8046           5390820  0.00297840
   673           5431110              8070           5423040  0.00296956
   675           5463450              8094           5455356  0.00296077
   677           5495886              8118           5487768  0.00295203
   679           5528514              8142           5520372  0.00294339
   681           5561046              8166           5552880  0.00293470
